NO,中分類,中分類の説明,大分類,大分類の説明
11,ソーシャルゲーム運営,ソーシャルネットワーキングサービス(SNS)上でプレイできるゲームやSNSを提供する業界。友人との交流や競争要素を取り入れたソーシャルゲーム、ユーザー同士のコミュニケーションやゲーム内での交流を促進するプラットフォームを運営。,デジタルコンテンツ,ソーシャルネットワーク上でのゲーム開発と運営
12,ゲーム・アニメーションデザイン,ゲームキャラクターやアニメーションの制作を行う業界。デザインだけでなく、モデリング、モーション制作、背景美術制作、ビジュアルエフェクトなど、幅広い業務を行う。,デジタルコンテンツ,ゲームとアニメのデザイン制作
13,出版業,書籍の企画、編集、制作、販売を行う業界。小説、ビジネス書、実用書、絵本、フィクション、ノンフィクション、専門書、教科書など、様々なジャンルの書籍を出版し、流通させる。,出版・メディア,書籍の企画、制作、販売
14,新聞業,日々のニュースや情報を伝える新聞を発行する業界。全国紙、地方紙、専門紙など、国際、国内、地域のニュース、社説、特集記事、広告などを定期的に制作、販売。,出版・メディア,ニュースと情報の収集、制作、発行
15,テレビ番組制作,テレビ番組の企画、制作、放送を行う業界。ドラマ、バラエティ、ドキュメンタリー、ニュース、スポーツ中継など、様々なジャンルや形式の番組を制作、提供。,出版・メディア,テレビ番組の企画、制作、放送
16,雑誌出版,定期刊行物の雑誌を発行する業界。ファッション誌、週刊誌、月刊誌、専門誌、ライフスタイル、ビジネス、スポーツなど、多岐にわたるジャンルの雑誌を編集、発行。,出版・メディア,雑誌の企画、制作、販売
17,ラジオ番組制作,ラジオ番組の企画、制作、放送を行う業界。音楽番組、トーク番組、ニュース番組、情報番組、スポーツ解説など、様々なジャンルや形式の番組を制作、提供。,出版・メディア,ラジオ番組の企画、制作、放送
18,放送業,テレビやラジオの放送を行う業界。番組の制作だけでなく、電波送信設備の運用も行い、ニュース、エンターテインメント、教育番組など、幅広いコンテンツを提供。,出版・メディア,ラジオやテレビの放送業務
19,樹脂製品製造,プラスチックなどの樹脂を原料とした製品を製造する業界。日用品、工業製品、自動車部品、家電製品、家庭用品、医療機器など、幅広い製品を製造。,製造業,樹脂を使用した製品の製造
20,肥料・農薬製造,農作物の生育を促進するための肥料や、病害虫を防除するための農薬を製造する業界。有機質肥料、化学肥料、殺虫剤、除草剤など、農業に使用する様々な製品を製造し、作物の成長を促進し、病害虫から保護。,製造業,農業用肥料と農薬の製造
21,塗料製造,建築物や工業製品の表面を保護・美装するための塗料を製造する業界。水性塗料、油性塗料、ラッカー塗料、自動車用、家庭用、工業用など、幅広い用途に対応する塗料を生産し、色彩や防錆などの機能を提供。,製造業,塗料およびコーティング製品の製造
22,化学製品製造,工業製品や日用品の原料となる様々な化学物質を製造する業界。有機化学品、無機化学品、高分子化合物など、幅広い種類の化学物質を製造し、幅広い製品に応用される。,製造業,化学製品の製造
23,接着剤製造,物質同士を接着するための接着剤を製造する業界。瞬間接着剤、エポキシ接着剤、木工用ボンドなど、産業用、家庭用の接着剤やシーラントを開発、供給。,製造業,接着剤の製造
24,IT教育,ITに関する知識やスキルを習得するための教育を提供する業界。プログラミングスクール、Webデザインスクール、IT資格取得講座、データサイエンス、ネットワーク管理など、多岐にわたる専門知識を教える。,教育サービス,ITスキルや知識を提供する教育サービス
25,学習塾・予備校,学習塾や予備校を運営する業界。受験対策、補習、学力向上を目的とした様々なコースを提供し、個別指導やグループレッスンを通じて生徒の進学や試験対策を支援。,教育サービス,学生向けの学習支援と試験対策
26,教材販売,学習教材を開発・販売する業界。教科書、参考書、問題集、ドリル、映像教材、学習ソフトウェアなど、様々な種類の教材を製造、販売し、教育機関で使用される。,教育サービス,教材の企画、制作、販売
27,児童保育サービス,保育園や幼稚園を運営し、幼児や児童の保育や教育を行う業界。保育園、託児所、プリスクールなどを運営し、子供たちに安全で教育的な環境を提供。,教育サービス,子供向けの保育サービス
28,資格取得支援,資格取得のための講座や教材を提供する業界。国家資格、民間資格、検定など、専門的な資格取得を目指すコースや模擬試験を含む、様々な資格に対応した講座を提供。,教育サービス,資格試験の準備と支援
29,語学教育,語学学習のための講座や教材を提供する業界。英会話教室、オンライン英会話、語学留学、英語、日本語、中国語など、多様な言語の学習プログラムを展開。,教育サービス,語学の学習とトレーニング
30,学校運営,小学校、中学校、高等学校、大学などを運営し、初等教育から高等教育までの教育カリキュラムを提供する業界。,教育サービス,教育を提供する学校機関
31,看板制作,屋外広告用の看板を制作・設置する業界。電飾看板、LED看板、ネオンサイン、デジタルサイネージなど、様々な種類の看板をデザイン、製作、提供。,広告・マーケティング,看板の制作と設置
32,インターネット広告代理業,インターネット広告の企画・制作・運用を行う業界。リスティング広告、ディスプレイ広告、SNS広告、検索エンジン広告、ソーシャルメディア広告など、多様なインターネット広告を企画、運営。,広告・マーケティング,インターネット上での広告キャンペーンの管理
33,広告代理業,広告主の代わりに広告の企画・制作・メディアバイイングを行う業界。テレビCM、新聞広告、雑誌広告、Web広告、ラジオ広告など、多様な広告媒体を通じて広告主のプロモーションを支援。,広告・マーケティング,広告キャンペーンの計画、実行、管理
34,印刷業,チラシ、パンフレット、ポスター、カタログなどの紙媒体を印刷する業界。オフセット印刷、オンデマンド印刷などの方式を用いて、書籍、雑誌、パンフレット、カタログなどの高品質な印刷物を提供。,広告・マーケティング,印刷物の企画、制作、販売
35,電子商取引,インターネット上で商品やサービスを販売する業界。自社サイトでの販売や、Amazon、楽天市場などのECモールへの出店、ウェブサイトやモバイルアプリを通じて、様々なカテゴリーの商品を販売し、配送サービスを提供。,ITサービス,インターネット上での商品の販売と購入
36,家具販売業,テーブル、椅子、ソファ、ベッドなどの家具を販売する業界。自社ブランドの家具を製造・販売するメーカーや、様々なメーカーの家庭用やオフィス用家具を取り扱う小売店があり、ソファ、テーブル、椅子、収納家具など、多様なデザインと機能を持つ家具を提供。,小売業,家具の販売と流通
37,小売業,商品を消費者に直接販売する小売店舗業界。コンビニエンスストア、スーパーマーケット、百貨店、専門店など、食料品、衣料品、電化製品、家庭用品、化粧品、雑貨など、日常的に消費される様々な商品を提供し、物理的な店舗やオンライン販売チャネルを通じて商品を販売。,小売業,小売業を営む店舗
38,リサイクル店,中古品を買い取り、販売する業界。家電、家具、衣類、ブランド品、古着、電化製品など、様々な商品の中古品をリサイクルし、再利用して再販することで持続可能な消費を促進。,小売業,リサイクル品の販売と取引
39,パソコン・スマートフォン販売,パソコン、スマートフォン、タブレットなどのデジタル機器を販売する業界。メーカー直営店、家電量販店、専門店で、ノートパソコン、デスクトップ、タブレット、スマートフォンなどの最新の電子機器を提供。,小売業,パソコンおよびスマートフォン機器の販売
40,医薬品販売業,医薬品を販売する業界。調剤薬局、ドラッグストアで、処方薬、一般用医薬品、ビタミンサプリメントなどの薬剤や健康関連製品を提供し、顧客の健康を支援。,小売業,医薬品の販売
41,携帯電話・通信回線代理店,携帯電話やスマートフォンの販売、通信回線の契約手続きを行う業界。キャリアショップや家電量販店で、スマートフォン、モバイルデータプラン、インターネットサービスプロバイダの契約を仲介。,小売業,携帯電話および通信回線の販売
42,雑貨販売業,生活雑貨、インテリア雑貨、キッチン雑貨、ファッション雑貨などを販売する業界。専門店、セレクトショップ、バラエティショップで、家庭用品、インテリアグッズ、文房具、ギフトアイテムなど、日常生活に必要な多様な商品を取り扱う。,小売業,雑貨の販売
43,ガソリンスタンド,ガソリン、軽油、灯油などの燃料を販売する業界。ガソリンスタンドを運営し、洗車サービスやオイル交換などの車両メンテナンスサービスも提供して、ドライバーのニーズに応える。,小売業,ガソリンおよび自動車関連サービスの提供
44,スポーツ用品販売業,スポーツウェア、スポーツシューズ、スポーツ用品を販売する業界。専門店、総合スポーツ用品店、百貨店で、フィットネス機器、運動用アパレル、スポーツアクセサリーなど、アクティブなライフスタイルをサポートする商品を提供。,小売業,スポーツ用品の販売
45,化粧品販売業,化粧品、スキンケア用品、ヘアケア用品などを販売する業界。デパート、ドラッグストア、専門店で、スキンケア、メイクアップ、香水、ヘアケア製品など、個人の美しさと健康を引き出す商品を提供。,小売業,化粧品の販売
46,中古車販売,中古車を販売する業界。ディーラー系中古車販売店、独立系中古車販売店で、自動車ディーラーやオークションを通じて、品質の良い中古車を提供し、顧客のニーズに応える。,小売業,中古車の販売
47,食品販売,食料品を販売する業界。スーパーマーケット、コンビニエンスストア、専門店で、食品や飲料の販売を行い、新鮮な食材、調理済み食品、デリカテッセンアイテムなど、多様な商品を提供。,小売業,食品の販売
48,婦人服販売,女性向けの衣料品を販売する業界。百貨店、ファッションビル、専門店で、最新のファッションアイテム、カジュアルウェア、フォーマルウェアなど、多様なスタイルを提供。,小売業,レディースアパレルの販売
49,花屋,切り花、鉢植え、観葉植物などを販売する業界。フラワーアレンジメントやブーケの制作も行い、生花、観葉植物、ガーデニング用品など、美しい花や緑を提供して顧客の生活空間を彩る。,小売業,花の販売
50,ペット販売,ペットの販売、ペット用品の販売、ペットホテル、トリミングサロンなどのサービスを提供する業界。犬、猫、小動物、鳥類、魚類など、ペットフード、アクセサリー、ケア用品を提供。,小売業,ペットおよび動物関連商品の販売
51,子供服販売店,子供向けの衣料品を販売する業界。乳幼児向け、小学校低学年向け、高学年向けなど、年齢層に合わせたベビー服、キッズウェア、アクセサリーなど、可愛らしくて機能的な衣料品を提供。,小売業,子供向けアパレルの販売
52,新車販売業,新車を販売する業界。メーカー直営店、ディーラー、自動車販売店で、自動車ディーラーが新車を提供し、購入者に最新の車両モデルを紹介、販売。,小売業,新車の販売
53,輸入雑貨販売,海外から輸入した雑貨を販売する業界。インテリア雑貨、キッチン雑貨、ファッション雑貨、食品など、ユニークなインテリアグッズ、ファッションアイテム、ギフト商品など、異国の文化を感じさせる商品を提供。,小売業,輸入雑貨の販売
54,美容用品販売,化粧品、美容家電、ヘアケア用品、ボディケア用品などを販売する業界。ドラッグストア、バラエティショップ、専門店で、美容に関連するスキンケアツール、マッサージ機器、美容機器など、個人の美容ケアをサポートする商品を提供。,小売業,美容関連商品の販売
55,紳士服販売,男性向けの衣料品を販売する業界。百貨店、ファッションビル、専門店で、スーツ、カジュアルウェア、スポーツウェアなど、スタイリッシュで機能的な衣料品を提供。,小売業,メンズアパレルの販売
56,宝飾品販売店,指輪、ネックレス、ピアス、ブレスレットなどの宝飾品を販売する業界。貴金属、宝石、ブランドジュエリーなど、特別な機会や日常使いに適した美しいジュエリーを提供。,小売業,ジュエリーの販売
57,自動車部品販売,自動車部品、カー用品、カーアクセサリーなどを販売する業界。カー用品店、ホームセンター、専門店で、エンジン部品、タイヤ、アクセサリーなど、車両の保守や改造に必要な製品を提供。,小売業,自動車部品の販売
58,お土産販売,贈答品、記念品、お土産などを販売する業界。百貨店、専門店、観光地土産物店で、地域の特産品や観光土産を販売し、伝統工芸品、地元の食品、ギフトアイテムなど、旅行者に人気の商品を提供。,小売業,お土産やギフト商品の販売
59,書籍・メディア販売,書籍、雑誌、CD、DVD、ブルーレイなどを販売する業界。書店、CDショップ、レンタルショップで、小説、専門書、雑誌、DVD、CDなど、多様なメディアコンテンツを提供。,小売業,書籍およびメディア商品の販売
60,乳製品宅配サービス,牛乳、ヨーグルト、チーズなどの乳製品を定期的に自宅まで配送するサービスを提供する業界。新鮮な牛乳、ヨーグルト、チーズなどを定期的に顧客の自宅に配送。,小売業,乳製品の宅配サービス
61,スーパーマーケット,食料品、日用品、衣料品など、多様な商品を販売する大型小売店。生鮮食品、加工食品、飲料、調味料、洗剤、トイレットペーパー、衣類、家電製品など、日常生活に必要な幅広い商品を提供。,小売業,スーパーマーケットの運営
62,スポーツ用品販売,スポーツウェア、スポーツシューズ、スポーツ用品などを販売する業界。野球、サッカー、テニス、ゴルフ、ランニングなど、様々なスポーツに対応したトレーニング機器、スポーツウェア、アクセサリーなどを提供し、アクティブなライフスタイルをサポート。,小売業,スポーツ用品の販売
63,ギフト販売,贈答品、記念品、お土産などを販売する業界。菓子、食品、雑貨、工芸品、地域の特産品や観光土産、伝統工芸品、地元の食品、ギフトアイテムなど、旅行者に人気の商品を提供。,小売業,お土産やギフト商品の販売
64,眼鏡・コンタクトレンズ製造,眼鏡やコンタクトレンズを製造する業界。視力矯正のためのレンズや視力補正用のレンズだけでなく、ファッションアイテムとしてのフレームやアクセサリーなど、視覚の質を向上させる製品を提供。,製造業,眼鏡およびコンタクトレンズの製造
65,雑貨製造,生活雑貨、インテリア雑貨、キッチン雑貨、ファッション雑貨などを製造する業界。家庭用品、文房具、インテリアアクセサリー、ギフトアイテムなど、多様な素材やデザインの商品を製造し、日常生活を彩る製品を提供。,製造業,雑貨の製造
66,玩具製造販売,子供向けの玩具を製造・販売する業界。人形、ぬいぐるみ、ブロック、ゲーム、プラモデル、教育的な玩具、パズル、アクションフィギュア、ボードゲームなど、楽しく学べる様々な種類の玩具を提供。,製造業,玩具の製造および販売
67,美術工芸品販売,絵画、彫刻、陶芸品、漆器、織物など、美術的価値や工芸的価値のある作品を制作・販売する業界。美術品や工芸品を製造し、絵画、彫刻、陶器、ガラス製品など、芸術的価値のある製品を提供。,製造業,美術品および工芸品の製造および販売
68,オフィス用品販売,事務用品、文房具、OA機器、オフィス家具などを販売する業界。オフィス環境を整備するための文房具、オフィス家具、電子機器など、業務効率を向上させる製品を提供。,製造業,オフィス用品の製造および販売
69,トイレタリー製品販売,シャンプー、リンス、石鹸、ボディソープ、歯磨き粉などのトイレタリー製品を製造・販売する業界。トイレットペーパー、ペーパータオル、ティッシュ、クリーナーなど、清潔な生活をサポートする製品を提供。,製造業,トイレタリー製品の製造および販売
70,家具製造,テーブル、椅子、ソファ、ベッドなどの家具を製造する業界。木製家具、金属製家具、プラスチック製家具などの家庭用やオフィス用の家具を製造し、ソファ、テーブル、椅子、収納家具など、多様なデザインと機能を持つ家具を提供。,製造業,家具の製造
71,日用品製造,洗剤、トイレットペーパー、ティッシュペーパー、キッチンペーパー、ラップなどの日用品を製造する業界。家庭用洗剤、パーソナルケア製品、台所用品など、日常生活で使用する便利で使いやすい製品を提供。,製造業,日用品の製造
72,ベビー用品製造,ベビー服、ベビーカー、チャイルドシート、哺乳瓶、おむつなどのベビー用品を製造する業界。赤ちゃんや幼児向けのベビー服、おもちゃ、育児用品など、安全で機能的な製品を提供。,製造業,ベビー用品の製造
73,仏具販売,仏壇、仏具、線香、ろうそくなどの仏具を製造・販売する業界。仏壇、仏像、ろうそく、線香など、宗教儀式や家庭での供養に使用される製品を提供。,製造業,仏具の製造および販売
74,文房具販売,ペン、鉛筆、ノート、ファイル、消しゴムなどの文房具を製造・販売する業界。ペン、ノート、ファイル、ステーショナリーアクセサリーなど、日常生活や業務で使用される製品を提供。,製造業,文房具の製造および販売
75,店舗用家具販売,店舗用の什器、陳列棚、ショーケースなどを製造・販売する業界。店舗や商業施設で使用される陳列棚、カウンター、什器、レストラン用家具など、商業スペースを効率的に活用する製品を提供。,製造業,店舗用家具の製造および販売
76,タバコ製造販売,タバコを製造・販売する業界。紙巻タバコ、加熱式タバコ、葉巻、電子タバコなど、様々な種類のタバコ製品を提供。,製造業,タバコの製造および販売
77,家電製品販売,テレビ、冷蔵庫、洗濯機、エアコン、掃除機などの家電製品を製造・販売する業界。家庭用や商業用の冷蔵庫、洗濯機、テレビ、エアコンなど、生活を便利にする電化製品を提供。,製造業,家電製品の製造および販売
78,照明器具製造販売,照明器具を製造・販売する業界。シーリングライト、ペンダントライト、スタンドライト、スポットライト、家庭用、オフィス用、商業施設用のランプ、LED照明、デコレーションライトなど、多様な照明ソリューションを提供。,製造業,照明器具の製造および販売
79,音響・映像機器製造販売,スピーカー、アンプ、レコーダー、プロジェクターなどの音響・映像機器を製造・販売する業界。スピーカー、ヘッドホン、マイクロフォン、カメラ、プロジェクターなど、高品質な音響と映像体験を提供。,製造業,音響機器および映像機器の製造および販売
80,再生可能エネルギー供給,太陽光発電、風力発電、水力発電、地熱発電、バイオマス発電などの再生可能エネルギーを利用した発電事業を行う業界。再生可能エネルギーの技術とソリューションを提供し、持続可能なエネルギーを提供。,エネルギー,再生可能エネルギーの供給と管理
81,ガス・燃料製品製造採掘,都市ガス、LPガス、石油、石炭などの燃料を供給する業界や、それらの資源を採掘する業界。ガスや燃料製品を採掘、加工、供給し、天然ガス、プロパン、石油、バイオ燃料など、エネルギー供給を支える製品を提供。,エネルギー,ガスおよび燃料製品の製造と採掘
82,資産運用コンサルティング,個人や企業の資産運用に関するコンサルティングを行う業界。投資信託、株式、債券、不動産などの投資対象に関するアドバイスを提供し、投資戦略、ポートフォリオ管理、リスク評価など、資産の最大化をサポート。,コンサルティング,資産運用に関するコンサルティング
83,経営コンサルティング,企業の経営に関するコンサルティングを行う業界。経営戦略、組織改革、業務改善、マーケティング、業務効率化、戦略立案など、経営全般に関する助言を提供。,コンサルティング,経営に関するコンサルティング
84,財務コンサルティング,企業の財務に関するコンサルティングを行う業界。資金調達、財務分析、会計処理、税務対策、予算管理など、企業の財務健全性を支援。,コンサルティング,財務に関するコンサルティング
85,ウェブマーケティングコンサルティング,Webマーケティングに関するコンサルティングを行う業界。SEO対策、Web広告運用、コンテンツマーケティング、ソーシャルメディア戦略など、様々なWebマーケティング施策に関するアドバイスを提供し、オンラインプレゼンスの向上を支援。,コンサルティング,Webマーケティングに関するコンサルティング
86,組織運営コンサルティング,企業の組織に関するコンサルティングを行う業界。組織開発、人事制度設計、人材育成、リーダーシップ開発、チームビルディング、変革管理など、様々な分野のコンサルティングを提供し、組織のパフォーマンス向上を支援。,コンサルティング,組織運営に関するコンサルティング
87,販売促進コンサルティング,企業の販売促進に関するコンサルティングを行う業界。広告戦略、PR戦略、イベント企画、キャンペーン企画、プロモーション戦略、マーケットリサーチ、広告キャンペーンの最適化など、販売活動を支援。,コンサルティング,販売促進に関するコンサルティング
88,不動産コンサルティング,不動産に関するコンサルティングを行う業界。不動産投資、不動産開発、不動産管理、不動産売買、物件管理、開発計画など、土地と建物に関する専門知識を提供。,コンサルティング,不動産に関するコンサルティング
89,土木工事コンサルティング,土木工事に関するコンサルティングを行う業界。道路、橋梁、トンネル、ダムなどの設計、施工管理、維持管理、インフラプロジェクト、建設計画、環境影響評価などに関するアドバイスを提供し、公共および民間の土木プロジェクトを支援。,コンサルティング,土木工事に関するコンサルティング
90,製造業コンサルティング,製造業に関するコンサルティングを行う業界。生産管理、品質管理、工程改善、コスト削減、生産効率の改善、サプライチェーン管理など、様々な分野のコンサルティングを提供し、製造プロセスの最適化を支援。,コンサルティング,製造業に関するコンサルティング
91,医療コンサルティング,医療機関に関するコンサルティングを行う業界。病院経営、診療報酬請求、医療情報システム導入、医療機関開業支援、医療サービスの改善、患者ケアの向上、経営管理など、様々な分野のコンサルティングを提供し、医療分野の専門的助言を提供。,コンサルティング,医療に関するコンサルティング
92,広告運用コンサルティング,広告運用に関するコンサルティングを行う業界。Web広告、SNS広告、動画広告など、様々な広告媒体の運用に関するアドバイスを提供し、デジタル広告キャンペーンの管理、効果測定、広告投資の最大化を支援。,コンサルティング,広告運用に関するコンサルティング
93,コスト削減コンサルティング,企業のコスト削減に関するコンサルティングを行う業界。原価削減、経費削減、物流コスト削減、エネルギーコスト削減、業務プロセスの効率化、購買コストの見直し、運用コストの削減など、様々な分野のコスト削減に関するアドバイスを提供し、経費管理を支援。,コンサルティング,コスト削減に関するコンサルティング
94,起業コンサルティング,起業に関するコンサルティングを行う業界。事業計画作成、資金調達、マーケティング戦略、創業手続き、ビジネスモデルの開発、資金調達支援、起業家育成など、様々な分野のコンサルティングを提供し、スタートアップの成功を支援。,コンサルティング,起業に関するコンサルティング
95,飲食業コンサルティング,飲食店に関するコンサルティングを行う業界。店舗経営、メニュー開発、集客戦略、従業員教育、レストラン運営の最適化、メニュー開発、顧客体験の向上など、様々な分野のコンサルティングを提供し、飲食ビジネスの成功を支援。,コンサルティング,飲食業に関するコンサルティング
96,総合コンサルティング,経営、財務、人事、IT、マーケティングなど、幅広い分野のコンサルティングを行う業界。企業の抱える様々な課題に対して、総合的な解決策を提案し、戦略、運営、技術など、企業のあらゆるニーズに対応するサービスを提供。,コンサルティング,総合的なコンサルティングサービス
97,高齢者福祉サービス,高齢者の生活を支援するためのサービスを提供する業界。介護サービス、デイサービス、老人ホーム、訪問介護、介護施設、在宅介護サービス、シニアコミュニティなど、高齢者の生活支援を行う。,医療・福祉,高齢者向けの福祉サービス
98,障害者福祉サービス,障害者の生活を支援するためのサービスを提供する業界。就労支援、生活支援、相談支援、グループホーム、特別支援学校、就労支援サービス、リハビリテーション施設など、障害者の自立と社会参加を支援。,医療・福祉,障害者向けの福祉サービス
99,薬品製造,医薬品を研究開発、製造、販売する業界。新薬開発、ジェネリック医薬品製造、医薬品卸売、新薬の開発、ジェネリック薬の製造、医薬品の流通を通じて、健康の維持と改善に寄与。,医療・福祉,薬品の開発、製造、および販売
100,調剤薬局,医師の処方箋に基づき、薬剤師が調剤を行い、患者に薬を提供する薬局。処方薬や医療製品を取り扱い、患者への薬の調剤、健康アドバイス、処方薬の管理を行い、地域の健康を支援。,医療・福祉,調剤薬局の運営
101,児童福祉サービス,児童養護施設や児童相談所を運営し、虐待やネグレクトなど困難な状況にある子どもたちを保護・支援する業界。子供たちが安全で健全に成長できるようにサポートする施設やサービスを提供する。,医療・福祉,児童向けの福祉サービス
102,医療施設運営,病院、診療所、クリニックを運営し、病気や怪我の診断、治療、予防を行う業界。患者に対して幅広い医療サービスを提供する施設を運営する。,医療・福祉,医療サービスを提供する施設
103,高齢者向け住宅運営,高齢者が安心して生活できる住まいを提供する業界。サービス付き高齢者向け住宅、介護付き有料老人ホーム、グループホーム、シニアコミュニティなど、安全で快適な環境を提供する。,医療・福祉,高齢者向けの住宅サービス
104,医療機器製造,医療現場で使用される機器を開発・製造・販売する業界。診断装置、治療装置、手術器具、医療用消耗品など、医療従事者をサポートする製品を提供する。,医療・福祉,医療機器の製造と販売
105,介護用品製造,高齢者や障害者の生活を支援するための用品を開発・製造・販売する業界。介護ベッド、車椅子、歩行器、入浴補助用品、リフトなど、日常生活をサポートする製品を提供する。,医療・福祉,介護用品の製造と販売
106,カフェ運営,コーヒーや紅茶などの飲み物、軽食、デザートを提供する飲食店を運営する業界。リラックスできる空間で、スムージーやサンドイッチなどの軽食を提供する。,飲食業,カフェの運営
107,寿司店運営,寿司を提供する飲食店を運営する業界。回転寿司、高級寿司店、テイクアウト寿司など、新鮮な魚介類と米を使用した伝統的な寿司を提供する。,飲食業,寿司店の運営
108,持ち帰り食品販売,惣菜、弁当、調理パンなど、調理済みまたはすぐに食べられる食品を製造・販売する業界。スーパーのデリカテッセンやテイクアウト専門店、弁当屋など、家庭やオフィスで手軽に楽しめる食事を提供する。,飲食業,中食サービスの提供
109,焼肉・ステーキ店運営,焼肉やステーキを提供する飲食店を運営する業界。焼肉レストラン、ステーキハウス、鉄板焼きなど、牛肉、豚肉、鶏肉などの肉料理を中心に提供する。,飲食業,焼肉店およびステーキハウスの運営
110,和食店運営,日本料理を提供する飲食店を運営する業界。寿司、天ぷら、蕎麦、うどん、懐石料理、すき焼き、しゃぶしゃぶなど、多彩な和食メニューを提供する。,飲食業,和食店の運営
111,居酒屋運営,アルコール飲料を中心とした飲み物や、それに合う料理を提供する飲食店。居酒屋、バー、パブ、スナックなどを運営し、リラックスした雰囲気で楽しむ飲食を提供する。,飲食業,居酒屋および飲み屋の運営
112,中華料理店運営,中華料理やラーメンを提供する飲食店を運営する業界。ラーメン専門店、中華料理店、餃子専門店、点心専門店など、多彩なアジア料理を提供する。,飲食業,中華料理店およびラーメン店の運営
113,レストラン運営,西洋料理や多国籍料理を提供する飲食店を運営する業界。イタリアン、フレンチ、アメリカン、地中海料理など、様々な国の料理を提供する。,飲食業,洋食レストランの運営
114,ファーストフード店運営,ハンバーガー、フライドチキン、ピザなどの手軽に食べられる料理を提供する飲食店を運営する業界。素早く提供されるファーストフードを扱い、手軽で速い食事を提供する。,飲食業,ファーストフード店の運営
115,うどん・そば店運営,うどんやそばを提供する飲食店を運営する業界。うどん専門店、そば専門店、立ち食いそば店など、麺類を中心にした食事を提供する。,飲食業,うどん店およびそば店の運営
116,保険代理業,保険会社の代理店として、保険商品の販売や契約手続きを行う業界。生命保険、損害保険、医療保険、自動車保険、住宅保険、企業保険など、様々な種類の保険を取り扱い、仲介を行う。,金融サービス,保険商品の販売代理業務
117,事業者向け金融サービス,企業に対して融資を行う金融業界。銀行とは異なり、担保や保証人がなくても融資を受けられることが多く、企業ローンやファクタリング、設備投資資金の提供など、事業の資金調達を支援する。,金融サービス,事業者向けの金融サービス提供
118,貸金業,個人に対して融資を行う金融業界。消費者金融、カードローン、個人向けローン、クレジットカードなど、多様な貸金サービスを提供する。,金融サービス,金融機関による貸金サービス
119,投資業務,証券会社や投資信託会社を通じて、株式、債券、投資信託などの金融商品に投資を行う業界。投資ファンド、株式投資、債券投資、不動産投資など、資産を増やすための投資サービスを提供する。,金融サービス,投資商品の提供と運用
120,オンライン証券取引,インターネット上で株式、債券、投資信託などの金融商品の売買を行う証券会社。オンラインでの取引プラットフォームを提供し、インターネットを通じて証券取引を行う。,金融サービス,オンラインでの証券取引サービス
