収集日時,会社名,TEL,事業所区分,業種名,事業所数,店舗数,工場数,業態,事業概要,事業戦略,競合他社/競合店,主要製品名,法人番号,郵便番号,所在地,コーポレートサイトURL,上場区分,資本金,設立年月日,代表者肩書名,代表者名,売上高,経常利益,営業利益,役員,FAX番号,お問い合わせ先のメールアドレス,採用に関する連絡先メールアドレス,掲載中の求人サイト名,お問い合わせフォームのURL,公式facebookのURL,公式X(旧:Twitter)のURL,公式InstagramのURL,公式YouTubeのURL
2024/09/15/00:20,西武ハイヤー株式会社,04-2997-9111,,陸運業,10,,,BtoC,西武ハイヤー株式会社は、西武グループに所属するタクシー・ハイヤー事業者で、埼玉県南西部交通圏と東京都多摩地区を中心に営業しています。タクシー293台、ハイヤー28台を保有し、地域密着型のサービスを提供しています。キーワード: タクシー、ハイヤー、地域密着、BtoC、埼玉、東京,地域の交通インフラとしての役割を強化し、デジタル技術を活用して効率的かつ利便性の高いサービスを提供することに重点を置いています。クラウド型配車システムの導入やDX化を推進しています。,ディー・エイチ・エル・ジャパン/東武シェアードサービス,タクシーサービス、ハイヤーサービス、クラウド型タクシー配車システム,2.0133E+12,359-1131,埼玉県所沢市久米546-1,https://www.seibuhire.co.jp/,非上場,"3,000万円",1967/6/7,代表取締役,刈屋 輝彦,"27,880,000千円",,,鈴井 博文,04-2993-3555,,spiral_saiyo@seibuhire.jp,西武ハイヤー公式サイト/求人ボックス/マイナビ転職/DODA/はたらいく,,,,,
2024/09/15/00:23,ユアサ電池サービス販売 株式会社,048-461-4155,本社,卸売業,9,9,,BtoB/BtoC,ユアサ電池サービス販売株式会社は、自動車用バッテリーやカー用品の卸売を行う企業で、全国規模で事業を展開しています。主要取引先にはジーエス・ユアサがあり、オリジナルブランド商品の開発も行っています。キーワード: バッテリー、卸売、カー用品、オリジナルブランド。,バッテリー販売を中心に、カー用品やOA機器の販売、損害保険代理業務を展開。全国規模での展開とグループ企業との連携により、地域密着型のビジネスモデルを構築。,トークシステム/JEVIC,自動車用バッテリー、輸入車用バッテリー、オートバイ用バッテリー、産業機械用バッテリー、農機用バッテリー、船舶用バッテリー、バッテリー充電器、バックアップ電源、カー用品,3.03E+12,351-0012,埼玉県朝霞市栄町4丁目1番16号,http://www.yds-gr.com/ydsh/copr.html,非上場,"3,000万円",Nov-68,代表取締役社長,佐藤 嘉友,"7,316,100千円","195,726千円",,佐藤 公男/佐藤 真紀/田島 俊和,048-451-5744,,,エンゲージ/会社の評判/エン転職/リクナビNEXT,,,,,
2024/09/15/00:24,株式会社 SANBI,048-480-4302,本社,農業,,,,BtoB,株式会社SANBIは、埼玉県新座市に本社を置き、ビルメンテナンスや清掃業務を行っています。高所作業専門の清掃業から始まり、総合管理業にシフトし、ビルの設備メンテナンスや定期清掃、害虫駆除などを手掛けています。キーワード: ビルメンテナンス、清掃業務、総合管理、高所作業、害虫駆除,高所作業を含む全ての清掃業務を自社で行える強みを持ち、急な依頼にも対応できる体制を整えています。スタッフの教育を徹底し、コストダウンや管理方法の改善を提案することで顧客満足度の向上を図っています。,,,3.03E+12,352-0011,埼玉県新座市片山1丁目4番28号,https://www.sanbi1331.co.jp/,非上場,300万円,2006/5/1,代表取締役,丑山 幸己,,,,丑山 幸己,,,,リジョブ/TOWN WORK,https://www.sanbi1331.co.jp/,,,,
2024/09/15/00:26,株式会社VOLLMONT セキュリティサービス松戸支社,047-382-5575,,警備業,,,,BtoB,建物の警備、現金や貴金属の輸送時の警備、身辺警備を総合的に行い、防犯防災に関するコンサルティングも提供。キーワード: 警備、輸送、コンサルティング、安全。,多様な警備サービスとコンサルティングを通じて顧客のニーズに応える。,セコム株式会社/ALSOK（綜合警備保障株式会社）/中央警備保障株式会社/テイケイ株式会社。,建物警備、現金護送警備、工事現場警備、コンサルティングサービス。,,271-0091,千葉県松戸市本町19-12,,,,,,,,,,,047-382-5576,,,,,,,,
2024/09/15/00:27,株式会社 クローバー,090-3339-6953,本社,農業,23,,,"BtoB, BtoC","株式会社クローバーは、福祉用具の貸与や居宅介護支援を行う企業で、地域密着型のサービスを提供しています。福岡県と東京都に事業所を持ち、利用者の自立した生活を支援しています。キーワード: 福祉用具貸与, 居宅介護支援, 地域密着型サービス",福祉と他のビジネスモデルを組み合わせた「福祉 × 〇〇」アプローチを基盤に、シナジー効果を生み出し、付加価値を提供することを目指しています。,クローバテック株式会社/株式会社クローバー情報システム/株式会社クローバー・ガーデン,"小型緊急呼吸器, スペア・エア, 担架, ストレッチャー, 救助用ロープ",1.0104E+12,160-0004,東京都新宿区四谷4丁目12番地,https://clover.co.jp/,非上場,"3,000万円",1982/7/1,代表取締役,吉田 直樹,"10,100,000千円","14,852千円","2,000,000千円",吉田 直樹/内山 知史,03-5315-0325,,,,,,,,
2024/09/15/00:28,サンコー・エア・セルテック株式会社,03-3234-1399,本社,複合サービス事業,,0,1,BtoB,サンコー・エア・セルテック株式会社は、航空機の製造・整備、航空貨物の取り扱い、通関業務を行う企業です。主な事業には、航空機のリフレッシュ業務、周辺機器の点検・整備、国際航空貨物の輸出入業務が含まれます。キーワード: 航空機製造、整備、物流、通関業務,航空機製造と整備の技術力を活かし、国際物流の効率化を図る。,JALスカイ / スイスポートジャパン / 極東開発工業株式会社,ボーイング787部品、エアバスA320neoエンジンブレード,7.01E+12,101-0051,東京都千代田区神田神保町3-10-2 共立ビル2階,https://www.sanko-as.co.jp/,未上場,"5,000万円",1976/3/22,代表取締役社長,管野 升太郎,4500000千円,,,管野 升太郎 / 塩野谷 清彦 / 藤井 正一 / 阿佐 正博 / 金子 喜行 / 安藤 与士夫 / 水野 雅裕,03-3234-1204,s-jinji@sanko-as.co.jp,s-jinji@sanko-as.co.jp,求人ボックス / エンゲージ,,https://www.facebook.com/sanko.as,,,
2024/09/15/00:30,株式会社ヒノキヤグループ,080-3345-8274,本社,住宅建設業,,173,,"BtoB, BtoC",株式会社ヒノキヤグループは、住宅事業を中心に、断熱材、不動産投資、リフォーム事業を展開しています。主力商品には省エネECO住宅や全館空調システム「Z空調」があり、高品質な住環境の提供を目指しています。キーワード: 住宅事業、断熱材、不動産投資、リフォーム、Z空調,持続的成長と企業価値の向上を目指し、注文住宅事業をコアに多角化を推進。特許取得の「Z空調」を標準装備し、3ブランド戦略で市場シェア拡大を図る。,大京穴吹不動産/デザインアーク,Z空調、桧家住宅、パパまるハウス,2.03E+12,100-0005,東京都千代田区丸の内1丁目8番3号、丸の内トラストタワー本館,https://www.hinokiya-group.jp/,東証プライム,1億円,1988/10/13,代表取締役社長・CEO,近藤 昭,"1,421,000,000千円","75,000,000千円","75,000,000千円",,,,,,,,,,
2024/09/15/00:32,株式会社アリエル,03-4400-6547,本社,コンピューター - ITサービス,,3,,BtoB,株式会社アリエルは、3Dプリンタを活用した製作依頼サービスを提供し、CADデータの作成から試作、製作、後加工までをワンストップで対応しています。また、ITソリューション事業部では画像分析やAIカメラの導入、自社システム製品の開発、クラウドコンピューティングの導入支援などを行っています。キーワード: 3Dプリンタ、ITソリューション、CADデータ、クラウドコンピューティング,システム受託開発とソフトウェア販売、人材サービスとキャリア支援、教育と研修プログラムを通じて市場での地位を強化し、多様な顧客ニーズに応えるための基盤を構築しています。,株式会社資生堂/株式会社日本色材工業研究所/小林製薬株式会社,FEMMUE、PURCELL、3D造形サービス、IT技術によるモノづくり支援,8.0104E+12,150-0002,東京都渋谷区渋谷3丁目5-16 渋谷3丁目スクエアビル2F,https://www.ariel-inc.jp/,非上場,"1,000万円",2010/11/19,代表取締役,桐岡 勝正,,,,内海 大祐,03-3221-3135,ariel@allure-h.jp,,Indeed/エン転職,https://www.ariel-inc.jp/%E8%A6%8B%E7%A9%8D%E7%9B%B8%E8%AB%87-%E5%95%8F%E5%90%88%E3%81%9B/%E5%80%8B%E4%BA%BA/,https://www.facebook.com/ariel.co.ltd/,LakaBeauty_JP,,
2024/09/15/00:35,NRMビジネスパートナー株式会社,03-3258-8678,本社,記録情報管理業務、ビジネスプロセスアウトソーシング（BPO）,3,,,BtoB,NRMビジネスパートナー株式会社は、記録情報管理業務を中心に、官公庁や民間企業、大学向けに情報資産管理のコンサルティングや業務支援を行っています。デジタル化やIT化を推進し、効率的な情報管理システムの構築をサポートします。キーワード: 記録情報管理、BPO、デジタル化、IT化,顧客ニーズに応じた柔軟なサービス提供、デジタル化推進、地域密着型サービス展開、グループシナジー効果の活用、競争力強化,日本レコードマネジメント株式会社/エナジーレコードマネジメント株式会社/青森レコードマネジメントサービス株式会社/レコードマネジメントサービス株式会社,記録情報管理業務、BPOサービス、コンサルティングサービス、電子配信サービス、法令遵守支援,2.01E+12,101-0044,東京都千代田区鍛冶町二丁目9番12号 神田徳力ビル5F,https://www.nrmhd.co.jp/,未上場,"2,000万円",2017/4/7,代表取締役社長,仲田 英明,"221,000千円","18,000千円","15,000千円",仲田 英明,03-3258-8670,,,Indeed/はたらいく/エンゲージ/タウンワーク,,,,,
2024/09/15/00:36,一般財団法人国民公園協会 皇居外苑,03-3231-5509,本社,公園管理業,3,,0,BtoC,一般財団法人国民公園協会は、皇居外苑の維持管理を行い、環境保全と利用者サービスの充実に努めています。自然環境調査、ガイドセミナー、写真コンクールなどを通じて、自然環境の保護と普及啓発活動を行っています。,環境保全と利用者サービスの向上を図り、持続可能な公園管理を目指す。,他の公園管理団体/環境保護団体/観光施設運営会社,皇居外苑 きんつば/皇居外苑 どらやき/皇居外苑 ようかん,1.01001E+12,100-0002,東京都千代田区皇居外苑1-1,https://fng.or.jp/koukyo/,非上場,,1982/8/1,代表理事,杉山 博孝,,,,杉山 博孝/吉田 忠嗣/西尾 哲茂/中野 喜美/池田 善一/浦田 啓充/大西 祐資/鈴鹿 且久/鳥居 敏男/澤村 宏/森木 隆裕,03-3201-1131,,,,,,,https://www.instagram.com/kokyogaien_info/,
2024/09/15/00:38,株式会社東和ビルメンテナンス,03-5217-1885,本社,建物サービス業,3,,0,BtoB,株式会社東和ビルメンテナンスは、東京都千代田区に本社を置く総合ビル管理会社で、清掃、設備管理、警備、屋上緑化工事、アスベスト分析などを行っています。設立は1974年で、資本金は1000万円、従業員数は約90名です。キーワード: ビル管理、清掃、設備管理、警備、環境衛生。,専門性を高めるために多岐にわたるサービスを提供し、顧客との長期的な関係構築を重視。従業員の技術力向上や労働環境の整備にも注力。,株式会社日本管財/株式会社大成有楽不動産/株式会社三井不動産ファシリティーズ/株式会社セコム/株式会社ALSOKファシリティーズ,清掃管理サービス、環境衛生管理、設備管理及び工事、営繕工事,9.01E+12,101-0054,東京都千代田区神田錦町3-7-2 逸侶ビル3F,http://www.towa-birumente.co.jp/,非上場,"1,000万円",1974/9/26,代表取締役,吉田 實,"130,000千円",,,,03-5217-2585,,,,,,,,
2024/09/15/00:39,神田通信機株式会社,03-3252-7731,本社,建設業,11,11,,BtoB,神田通信機株式会社は、情報通信システムの開発、ソフトウェア開発、制御照明事業、通信システム開発、コンピュータ・ネットワークシステムの開発を行っています。主要な顧客には一般企業、病院、学校、官公庁が含まれ、ネットワークインフラの構築やソフトウェア開発を提供しています。キーワード: 情報通信、ソフトウェア、ネットワーク、制御照明。,情報通信事業と照明制御事業を中心に、顧客ニーズに応じたネットワークインフラの設計・構築を行い、クラウド化やモバイル化に対応した新たなソリューションを提供。環境への配慮も重視し、ISO14001認証を取得。,日本電気株式会社（NEC）/富士通株式会社/株式会社日立製作所/ソフトバンク株式会社/NTTグループ,情報通信システム、ソフトウェア開発、制御照明システム、通信システム、コンピュータ・ネットワークシステム、ファシリティサービス、コンタクトセンター業務,6.01E+12,101-0043,東京都千代田区神田富山町24番地,https://www.kandt.co.jp/,東京証券取引所スタンダード市場,13億1082万5千円,1947/9/26,代表取締役社長,神部 雅人,"59,780,000千円","5,059,000千円","370,000千円",神部 雅人/森川 幸一/神藤 善行/杉岡 久紀/土生 哲也/佐々木 邦治/田辺 正行/大塚 有希子/東 志穂,,,,,,,,,
2024/09/15/00:41,株式会社クリーン工房 日本橋支店,03-5640-5450,支店,マンション・ビル管理、経営コンサルティング、不動産業界,,,,BtoB,株式会社クリーン工房は、マンションやビルの管理、経営コンサルティング、不動産関連のサービスを提供しています。地域のニーズに応じたサービスを展開し、社会関連の業務を中心に多岐にわたる業務を行っています。キーワード: マンション管理、ビル管理、経営コンサルティング、不動産,総合ビルメンテナンス事業の効率化、公共施設の指定管理業務、新規事業への注力、地域社会との連携を強化し、成長戦略を展開しています。,ダスキン/アムウェイ,オフィス清掃サービス、商業施設清掃サービス,4.03E+12,103-0013,東京都中央区日本橋人形町3丁目10番2号 フローラビル4F,https://www.cleankobo.co.jp/,非上場,"5,000万円",1975/1/28,代表取締役,川鍋 大二,"114,000,000千円",,,川鍋 大二/川鍋 一朗/江頭 高広/柳沼 靖/川鍋 綾子/藤田 直子/鈴木 新一,048-601-5454,koho@cleankobo.co.jp,,Indeed/求人ボックス,https://www.cleankobo.co.jp/contact/,,,,
2024/09/15/00:43,文部科学省 大臣官房人事課,03-5253-4111,本社,行政機関（日本標準産業分類の細分類名）,1,0,0,BtoG（Business to Government）,文部科学省は、日本の教育、文化、スポーツ、科学技術に関する政策を策定し、実施する政府機関です。教育制度の整備や文化財の保護、スポーツ振興などを行い、国民の学びと成長を支援します。キーワード：教育、文化、スポーツ、科学技術。,教育の質向上、国際化推進、科学技術の振興などを通じて、日本の未来を支える人材育成を目指しています。,該当なし（政府機関であるため）,教育政策、文化振興プログラム、スポーツイベント,該当なし（政府機関には法人番号はありません）,100-8959,東京都千代田区霞が関3丁目2番2号,https://www.mext.go.jp/,,,1949/5/1,大臣,岸田 文雄,該当なし（政府機関には売上高はありません）,,,大臣/副大臣/政務官,03-5253-4112,mext-honbu@ml.mext.go.jp,mext-saiyo@ml.mext.go.jp,官公庁採用情報サイト,,,MEXT Japan Twitter,,https://www.youtube.com/user/MEXTJAPAN
2024/09/15/00:44,株式会社パトロールサービス,03-3816-4511,本社,警備業,,,,BtoB,株式会社パトロールサービスは、施設警備、交通誘導警備、雑踏警備を中心に、病院受付や医療事務などの派遣業務も行っています。若い人材を活用し、警備の質を高めることを目指しています。キーワード: 警備、派遣、BtoB、若い人材,警備業務の質の向上と若い人材の活用を通じて、顧客に安心と安全を提供することを目指しています。,株式会社セノン/株式会社全日警/テイケイ株式会社/株式会社ジェイ・エス・エス,施設警備、交通誘導警備、雑踏警備、病院受付、医療事務,3.01E+12,113-0033,東京都文京区本郷2丁目25番6号 いすゞビル3階,https://www.patrol-service.com/,非上場,"1,000万円",1978/5/20,代表取締役社長,山元 顯太郎,,,,山元 顯太郎/水口 卓哉/内野 耕一/山元 沙織,03-3816-4570,info@patrol-service.com,info@patrol-service.com,Indeed/ジョブメドレー/リクナビNEXT/TOWN WORK,,,,,
2024/09/15/00:46,特定非営利活動法人自殺対策支援センターライフリンク,03-3261-4934,本社,保健・医療・福祉,,0,0,"BtoC, BtoB, CtoC","自殺予防と自死遺族支援を目的とし、電話相談やSNS相談を通じて包括的な支援を提供。自治体と連携し、地域自殺対策計画を策定。キーワード: 自殺予防, 自死遺族支援, 地域連携",自殺を社会問題と捉え、地域社会との連携を強化。電話相談やSNS相談のインフラを強化し、地域モデルを構築。,特定非営利活動法人ステップベース/特定非営利活動法人ワールド・ビジョン・ジャパン,"自殺予防プログラム, 自死遺族支援, 地域モデルの構築, 啓発活動",7.01001E+12,102-0073,東京都千代田区九段北四丁目3番8号 市ヶ谷UNビル4階,https://lifelink.or.jp/,非上場,"1,600万円",2004/10/7,代表,清水 康之,,"-54,683千円",,清水 康之,,info@lifelink.or.jp,,,,,,,
2024/09/15/00:47,日本ゴンドラ株式会社,03-5829-5581,,機械器具設置工事業,10,0,2,BtoB,日本ゴンドラ株式会社は、高層ビルの外壁清掃用ゴンドラの設計、製造、販売、設置工事、保守を行っています。主要製品には窓拭きゴンドラ、メンテナンスラダー、懸垂幕などがあります。キーワード: ゴンドラ、設計、製造、販売、保守。,更新と保守の需要を活かし、安定した収益基盤を築く。高層ビル向けのメンテナンス用ゴンドラの設計・製造・販売・工事・保守を行い、国内外での需要に応える。,建築用機械やメンテナンス機器を製造する企業,アーム俯仰型ゴンドラ、アーム固定伸縮型ゴンドラ、無軌道式ゴンドラ,7.01E+12,101-0024,東京都千代田区神田和泉町1-13 住友商事神田和泉町ビル6階,https://www.ngon.co.jp/,未上場,1億円,1961/3/22,代表取締役社長,三宮 正則,"2,310,620千円",,"341,927千円（2010年）",三宮 正則,03-5829-5592,,saiyou@ngon.co.jp,Indeed / マイナビ転職 / DODA / 求人ボックス,https://www.ngon.co.jp/inquery/index.php,,,,
